Booktitle,Suggested Title,book_author,log_value,library,ISBN,Author,Type,Year Published,Weight,Page Count,Subjects,Places
Little Blue Truck,Little Blue Truck,Alice Schertle,1,Main (Oakland),152056610,Alice Schertle,work,2008,,32,"Fiction,Friendship,Trucks,Stories in rhyme,Protected DAISY",
Little Blue Truck,Little Blue Truck,Alice Schertle,1,Woods Run,152056610,Alice Schertle,work,2008,,32,"Fiction,Friendship,Trucks,Stories in rhyme,Protected DAISY",
Little Blue Truck,Little Blue Truck,,1,,152056610,Alice Schertle,work,2008,,32,"Fiction,Friendship,Trucks,Stories in rhyme,Protected DAISY",
Little Blue Truck,Little Blue Truck,,1,Brookline,152056610,Alice Schertle,work,2008,,32,"Fiction,Friendship,Trucks,Stories in rhyme,Protected DAISY",
Little Blue Truck,Little Blue Truck,"Alice Schertle, illustrated by Jill McElmurry",1,Brookline,152056610,Alice Schertle,work,2008,,32,"Fiction,Friendship,Trucks,Stories in rhyme,Protected DAISY",
Little Blue Truck,Little Blue Truck,Alice Schertle,1,East Liberty,152056610,Alice Schertle,work,2008,,32,"Fiction,Friendship,Trucks,Stories in rhyme,Protected DAISY",
Little Blue Truck,Little Blue Truck,,1,Beechview,152056610,Alice Schertle,work,2008,,32,"Fiction,Friendship,Trucks,Stories in rhyme,Protected DAISY",
Larose,Larose Forest,Louise Erdrich,1,Main (Oakland),No ISBN Found,Ontario. Ministry of Natural Resources. Division of Forests. Forest Resources Branch.,work,1979,,,,
Larose,Larose Forest,Louise Erdrich,1,,No ISBN Found,Ontario. Ministry of Natural Resources. Division of Forests. Forest Resources Branch.,work,1979,,,,
Larose,Larose Forest,Hannah Eldrich,1,Main (Oakland),No ISBN Found,Ontario. Ministry of Natural Resources. Division of Forests. Forest Resources Branch.,work,1979,,,,
Larose,Larose Forest,Louise Erdrich,1,Lawrenceville,No ISBN Found,Ontario. Ministry of Natural Resources. Division of Forests. Forest Resources Branch.,work,1979,,,,
Larose,Larose Forest,Louise Erdrich,1,Main (Oakland),No ISBN Found,Ontario. Ministry of Natural Resources. Division of Forests. Forest Resources Branch.,work,1979,,,,
Larose,Larose Forest,Louise Erdrich,1,Carrick,No ISBN Found,Ontario. Ministry of Natural Resources. Division of Forests. Forest Resources Branch.,work,1979,,,,
Larose,Larose Forest,Louise Erdrich,1,East Liberty,No ISBN Found,Ontario. Ministry of Natural Resources. Division of Forests. Forest Resources Branch.,work,1979,,,,
Larose,Larose Forest,Louise Erdrich,1,Main (Oakland),No ISBN Found,Ontario. Ministry of Natural Resources. Division of Forests. Forest Resources Branch.,work,1979,,,,
Larose,Larose Forest,Louise Erdrich,1,Beechview,No ISBN Found,Ontario. Ministry of Natural Resources. Division of Forests. Forest Resources Branch.,work,1979,,,,
Larose,Larose Forest,Louise Erdrich,1,Downtown & Business,No ISBN Found,Ontario. Ministry of Natural Resources. Division of Forests. Forest Resources Branch.,work,1979,,,,
Larose,Larose Forest,Louise Erdrich,1,Main (Oakland),No ISBN Found,Ontario. Ministry of Natural Resources. Division of Forests. Forest Resources Branch.,work,1979,,,,
Larose,Larose Forest,Louise Erdrich,1,Squirrel Hill,No ISBN Found,Ontario. Ministry of Natural Resources. Division of Forests. Forest Resources Branch.,work,1979,,,,
Larose,Larose Forest,Louise Erdrich,1,Squirrel Hill,No ISBN Found,Ontario. Ministry of Natural Resources. Division of Forests. Forest Resources Branch.,work,1979,,,,
Vampire In Distress,,Dale Mayer,1,Knoxville,No ISBN Found,,,,,,,
Curious George Saves His Pennies,Curious George Saves His Pennies,HA Rey,1,Squirrel Hill,9780547818535,H. A. Rey,work,2014,,,,
Vampire In Denial,,Dale Mayer,1,Knoxville,No ISBN Found,,,,,,,
Stelaluna,Stelaluna,"Cannon, Janell",5,Squirrel Hill,613650603,Janell Cannon,work,2003,12.8 ounces,,,
The Bazaar Of Bad Dreams,The blunders of a bashful man,Stephen King,1,Main (Oakland),9781434671585,Metta Victoria Fuller Victor,work,1800,,,,
The Bazaar Of Bad Dreams,The blunders of a bashful man,stephen king,1,West End,9781434671585,Metta Victoria Fuller Victor,work,1800,,,,
The Corrections,Corrections,Jonathan Franzen,1,Hazelwood,No ISBN Found,United States. Congress. House. Committee on the Judiciary,work,1974,,,,
4 Hour Body,The 4-Hour Body,Tim Ferris,1,Brookline,9780307463630,Timothy Ferriss,work,2010,,,,
Maisy Goes To The Hospital,Maisy Goes to the Hospital,Lucy Cousins,1,Squirrel Hill,763643726,Lucy Cousins,work,2007,4 ounces,32,"Ficción juvenil,Juvenile fiction,Fiction,Animals,Medical care,Fractures,Hospitals,Maisy (Fictitious character : Cousins),Maisy (Personaje literario : Primas),Hospitales,Animales,Leg,Fracturas,Atención médica",
Committed,Committed,Curtis Sittenfeld,1,Hazelwood,630767623X,Committed            Cdorh     0368009912,work,2001,,,,
The Adult Learner,Adult Learner,Malcolm Knowles,1,Main (Oakland),096132452X,Judy-Arin Krupp,work,1982,,,,
Fish Eyes,Fish Eyes,,1,Sheraden,785701796,Lois Ehlert,work,1990,11.2 ounces,,"Stories in rhyme,Fishes,Counting,Juvenile fiction,Fiction,Accessible book,Protected DAISY,Juvenile literature",
Fish Eyes,Fish Eyes,,1,Sheraden,785701796,Lois Ehlert,work,1990,11.2 ounces,,"Stories in rhyme,Fishes,Counting,Juvenile fiction,Fiction,Accessible book,Protected DAISY,Juvenile literature",
Design Thinking,Blue Ribbon Sampler (Cross Stitch),Robert Curedale,1,Main (Oakland),9780958210539,"Olwyn Horwood,Noodle Design Corp.,Thinking Caps",work,,,,,
I Want My Hat Back,I Want My Hat Back,,1,Sheraden,9780763655983,Jon Klassen,work,2011,,,"New York Times bestseller,nyt:picture_books=2011-11-19,Bears,Hats,Lost and found possessions,Fiction",
I Want My Hat Back,I Want My Hat Back,Jon Klassen,1,Main (Oakland),9780763655983,Jon Klassen,work,2011,,,"New York Times bestseller,nyt:picture_books=2011-11-19,Bears,Hats,Lost and found possessions,Fiction",
I Want My Hat Back,I Want My Hat Back,Jon Klassen,1,East Liberty,9780763655983,Jon Klassen,work,2011,,,"New York Times bestseller,nyt:picture_books=2011-11-19,Bears,Hats,Lost and found possessions,Fiction",
I Want My Hat Back,I Want My Hat Back,Jon Klassen,1,Main (Oakland),9780763655983,Jon Klassen,work,2011,,,"New York Times bestseller,nyt:picture_books=2011-11-19,Bears,Hats,Lost and found possessions,Fiction",
Follow The Line To School,Follow the Line to School,,1,Sheraden,670012262,Laura Ljungkvist,work,2011,,,,
Follow The Line To School,Follow the Line to School,Laura Ljungkvist,1,Hazelwood,670012262,Laura Ljungkvist,work,2011,,,,
Cats The Short Sound Of A,Cats,Alice K. Flanagan,1,Sheraden,1567666914,Alice K. Flanagan,work,1999,,23,"Cats,Fiction,Alphabet,Stories in rhyme",
What Shall We Do With The Boohoo Baby,What shall we do with the boo hoo baby? =,Cressida Cowell,2,Squirrel Hill,1852692715,Cressida Cowell,work,2000,,,"Animales domésticos,Animals,Arabic language materials,Babies,Behavior,Bilingual,Conducta,Crying,Crying in infants,Domestic animals,Ficción juvenil,Fiction,Juvenile fiction,Llanto,Niños lactantes,Pictorial works,Polish language materials,Protected DAISY",
Barbie Cupcake Challenge,,Mary Tillworth,1,Brookline,No ISBN Found,,,,,,,
The Vagina Monologue,The Vagina Monologues,eve ensler,1,Knoxville,9780345498601,Eve Ensler,work,1998,8.5 ounces,272,"Monologues,Vagina,Women,Drama,OverDrive,Nonfiction,Sociology,Women's Studies,Protected DAISY,In library",
The Lightning Thief  Rick Riordan,The Lightning Thief,,1,Brookline,439861306,Rick Riordan,work,2005,,,,
Bunny Fun,Bunny fun,,1,Sheraden,152058389,Sarah Weeks,work,2008,11.2 ounces,40,"Fiction,Stories in rhyme,Play,Rabbits",
Bunny Fun,Bunny fun,,1,Sheraden,152058389,Sarah Weeks,work,2008,11.2 ounces,40,"Fiction,Stories in rhyme,Play,Rabbits",
Thats Not My Mermaid,That's Not My Mermaid,,1,Sheraden,9780794510831,Fiona Watt,work,2005,12.8 ounces,10,,
Thats Not My Mermaid,That's Not My Mermaid,,1,Sheraden,9780794510831,Fiona Watt,work,2005,12.8 ounces,10,,
Thats Not My Mermaid,That's Not My Mermaid,,1,Sheraden,9780794510831,Fiona Watt,work,2005,12.8 ounces,10,,
Thats Not My Mermaid,That's Not My Mermaid,,1,Knoxville,9780794510831,Fiona Watt,work,2005,12.8 ounces,10,,
Toys In Space,Toys in Space,Mini Grey,1,Sheraden,70694893,Carolyn Sumners,work,1993,,,,
Princess Grace,My book of flowers,,1,Sheraden,No ISBN Found,Grace Princess of Monaco.,work,1980,,,,
Cool Cars And Trucks,Cool cars,,1,Sheraden,9781903276099,,work,2000,,,,
Cool Cars And Trucks,Cool cars,,1,Sheraden,9781903276099,,work,2000,,,,
New Shoes,Shoes,,1,Sheraden,078931777X,"Metropolitan Museum of Art (New York, N.Y.)",work,2008,,24,,
New Shoes,Shoes,Susan Lynn Meyer,1,Sheraden,078931777X,"Metropolitan Museum of Art (New York, N.Y.)",work,2008,,24,,
New Shoes,Shoes,Susan Lynn Meyer,1,Brookline,078931777X,"Metropolitan Museum of Art (New York, N.Y.)",work,2008,,24,,
The China Mirage,The mirage of China,James Bradley,1,Woods Run,9781845455453,Xin Liu,work,2009,,,,
Disaster Capitalism,Capital disasters,Anthony Loewenstein,1,Woods Run,9780750933179,John Withington,work,2003,,,,
Dogs,Befreite Seele,,1,Sheraden,3870961163,Wilfried Dogs,work,1971,,190,"Hypnotism,Therapeutic use",
Dogs,Befreite Seele,,1,Carrick,3870961163,Wilfried Dogs,work,1971,,190,"Hypnotism,Therapeutic use",
Dogs,Befreite Seele,Kathryn Stevens,1,West End,3870961163,Wilfried Dogs,work,1971,,190,"Hypnotism,Therapeutic use",
Dogs,Befreite Seele,Kathryn Stevens,1,West End,3870961163,Wilfried Dogs,work,1971,,190,"Hypnotism,Therapeutic use",
Dogs,Befreite Seele,Kathryn Stevens,1,West End,3870961163,Wilfried Dogs,work,1971,,190,"Hypnotism,Therapeutic use",
Maxs Toys,Max's toys,Rosemary Wells,1,Sheraden,1372629,Rosemary Wells,work,1979,,12,"Fiction,Brothers and sisters,Juvenile fiction,Toys,Counting,Rabbits,Toddlers",
The Mysterious Benedict Society And The Perilous Journey,The mysterious Benedict Society and the perilous journey,Trenton Lee Stewart,1,Squirrel Hill,316057800,Trenton Lee Stewart,work,2008,,448,"Adventure and adventurers,Fiction,Juvenile fiction,Missing persons,OverDrive,Science fiction,Treasure hunt (Game),Protected DAISY",
The Mysterious Benedict Society And The Perilous Journey,The mysterious Benedict Society and the perilous journey,Trenton Lee Stewart,1,Main (Oakland),316057800,Trenton Lee Stewart,work,2008,,448,"Adventure and adventurers,Fiction,Juvenile fiction,Missing persons,OverDrive,Science fiction,Treasure hunt (Game),Protected DAISY",
The Pout Pout Fish Goes To School,,,1,Lawrenceville,No ISBN Found,,,,,,,
The Pout Pout Fish Goes To School,,,1,Lawrenceville,No ISBN Found,,,,,,,
Skippyjon Jones Card Ramba,,,1,Lawrenceville,No ISBN Found,,,,,,,
The Choice,The Secular and the Sacred Harmonized,Nicholas Sparks,1,Allegheny,9781420808285,Eloise T. Choice,work,2005,,,,
The Choice,The Secular and the Sacred Harmonized,Nicholas Sparks,1,Lawrenceville,9781420808285,Eloise T. Choice,work,2005,,,,
The Mennyms,The Mennyms,Sylvia Waugh,1,Main (Oakland),9780785764014,Sylvia Waugh,work,1993,9.1 ounces,,"Dolls,Family life,Fiction,Juvenile fiction,Mennyms (Fictitious characters)",England
Animal Instincts,Instinct,Gena showalter,1,Allegheny,9781430460466,Paul A. Chadbourne,work,1872,,,,
Barbie Rock N Royals Sing It Out,,Devin An  Wooster,1,Brookline,No ISBN Found,,,,,,,
Bulletproof,Bulletproof,Maci Bookout,1,Main (Oakland),9781401017033,Lee Hodges,work,2001,,,,
Crabby Crab,Crabby Crab,,1,East Liberty,1597002461,Sandra Jean Patterson,work,2006,10.4 ounces,16,,
Before After,Psychological problems before and after myocardial infarction,Matthias Aregui,1,East Liberty,3805534248,Meeting on Psychological Problems before and after Myocardial Infarction (1981 Mas d' Artigny),work,1982,,,,
Before After,Psychological problems before and after myocardial infarction,"Ramstein, Anne-Margot",1,Hazelwood,3805534248,Meeting on Psychological Problems before and after Myocardial Infarction (1981 Mas d' Artigny),work,1982,,,,
Strong Looks Better Naked,Those wonderful moments of transitory unconsciousness,Khloé Kardashian,1,Main (Oakland),No ISBN Found,Diego Martinez Montano,work,2000,,,,
Never Too Late,Never too late,Amber Portwood,1,Main (Oakland),9781853890116,Betty Neels,work,1983,,,,
Devil In The Details Scenes From An Obsessive Girlhood,Devil in the Details,Jennifer Traig,1,Main (Oakland),9780316158770,Jennifer Traig,work,2004,,,,
Fancy Nancy Too Many Tutus,Fancy Nancy,,1,Lawrenceville,9780062083074,Jane O'Connor,work,2012,,,,
Fancy Nancy Too Many Tutus,Fancy Nancy,Jane O'Connor,1,Squirrel Hill,9780062083074,Jane O'Connor,work,2012,,,,
Fancy Nancy Too Many Tutus,Fancy Nancy,,1,Beechview,9780062083074,Jane O'Connor,work,2012,,,,
Now Ill Tell You Everything Alice 25,,Phyllis Reynolds Naylor,1,Main (Oakland),No ISBN Found,,,,,,,
Sugar Hill Harlems Historic Neighborhood,,Carole Boston Weatherford,1,Sheraden,No ISBN Found,,,,,,,
Barbie And The Secret Door Magic Friends,,Chelsea West,1,Brookline,No ISBN Found,,,,,,,
The Babies On The Bus,Babies on the bus,Karen Katz,1,Sheraden,805090118,Karen Katz,work,2011,,,,
The Babies On The Bus,Babies on the bus,Karen Katz,1,Sheraden,805090118,Karen Katz,work,2011,,,,
The Babies On The Bus,Babies on the bus,Karen Katz,1,Hill District,805090118,Karen Katz,work,2011,,,,
The Babies On The Bus,Babies on the bus,Karen Katz,1,Hill District,805090118,Karen Katz,work,2011,,,,
The Babies On The Bus,Babies on the bus,Karen Katz,1,Hill District,805090118,Karen Katz,work,2011,,,,
The Babies On The Bus,Babies on the bus,Karen Katz,1,Hill District,805090118,Karen Katz,work,2011,,,,
The Babies On The Bus,Babies on the bus,Karen Katz,1,Hill District,805090118,Karen Katz,work,2011,,,,
The Babies On The Bus,Babies on the bus,Karen Katz,1,Hill District,805090118,Karen Katz,work,2011,,,,
The Babies On The Bus,Babies on the bus,Karen Katz,1,Hill District,805090118,Karen Katz,work,2011,,,,
The Babies On The Bus,Babies on the bus,Karen Katz,1,Hill District,805090118,Karen Katz,work,2011,,,,
The Babies On The Bus,Babies on the bus,Karen Katz,1,Hill District,805090118,Karen Katz,work,2011,,,,
The Babies On The Bus,Babies on the bus,Karen Katz,1,Hill District,805090118,Karen Katz,work,2011,,,,
The Babies On The Bus,Babies on the bus,Karen Katz,1,Hill District,805090118,Karen Katz,work,2011,,,,
The Babies On The Bus,Babies on the bus,Karen Katz,1,Hill District,805090118,Karen Katz,work,2011,,,,
The Babies On The Bus,Babies on the bus,Karen Katz,1,Hill District,805090118,Karen Katz,work,2011,,,,
The Babies On The Bus,Babies on the bus,Karen Katz,1,Hill District,805090118,Karen Katz,work,2011,,,,
The Babies On The Bus,Babies on the bus,Karen Katz,1,Brookline,805090118,Karen Katz,work,2011,,,,
The Babies On The Bus,Babies on the bus,Karen Katz,1,Brookline,805090118,Karen Katz,work,2011,,,,
The Babies On The Bus,Babies on the bus,Karen Katz,4,Carrick,805090118,Karen Katz,work,2011,,,,
Peters Chair,Gauguin's chair,,1,Sheraden,9780912278735,Robert Peters,work,1977,,,,
Peters Chair,Gauguin's chair,Ezra Jack Keats,2,Main (Oakland),9780912278735,Robert Peters,work,1977,,,,
Ellens Broom,Ellen's broom,,1,Sheraden,9780399250033,Kelly Starling Lyons,work,2012,,,"JUVENILE FICTION / Historical / United States / Civil War Period (1850-1877),JUVENILE FICTION / Historical / United States / 19th Century,Slavery,Fiction,JUVENILE FICTION / People & Places / United States / African American,Brooms and brushes,Marriage,African Americans,Reconstruction (U.S. history, 1865-1877)",
Sugar Hill,Mel Bay A Gathering of Resophonic Pickers,,1,Sheraden,786620811,Stacy Phillips; Sugar Hill,work,1996,8.8 ounces,116,,
The Diggers Are Coming,,Susan Steggall,1,Sheraden,No ISBN Found,,,,,,,
Digger The Dinosaur And The Cake Mistake,,Rebecca Kai Dotlich,1,Main (Oakland),No ISBN Found,,,,,,,
Digger The Dinosaur And The Cake Mistake,,Rebecca Kai Dotlich,1,Downtown & Business,No ISBN Found,,,,,,,
Digger The Dinosaur And The Cake Mistake,,Rebecca Kai Dotlich,1,Downtown & Business,No ISBN Found,,,,,,,
Digger The Dinosaur And The Cake Mistake,,Rebecca Kai Dotlich,1,East Liberty,No ISBN Found,,,,,,,
Digger The Dinosaur And The Cake Mistake,,Rebecca Kai Dotlich,1,East Liberty,No ISBN Found,,,,,,,
Ninjago  Ninja Vs Ninja,,Kate Howard,1,Main (Oakland),No ISBN Found,,,,,,,
Tyrannosaurus Dad,Tyrannosaurus dad,Liz Rosenberg,1,Main (Oakland),9781596435315,Liz Rosenberg,work,2011,,,"Bullies,Tyrannosaurus rex,Fathers and sons,Fiction",
Tyrannosaurus Dad,Tyrannosaurus dad,Liz Rosenberg,1,Main (Oakland),9781596435315,Liz Rosenberg,work,2011,,,"Bullies,Tyrannosaurus rex,Fathers and sons,Fiction",
Goofy The Gardener Makes Up His Mind,Goofy the Gardener Makes Up His Mind (Walt Disney Productions Presents),Walt Disney's,1,Main (Oakland),9780394945361,,work,1980,,,,
Pete The Wolf,The Blue Motel,,1,Sheraden,1565049225,Peter Crowther,work,1996,8.8 ounces,559,,
The Girl Who Saved The King Of Sweden,,Jonas Jonasson,1,Beechview,No ISBN Found,,,,,,,
Lunch Lady And The Video Game Villain,,Jarrett J.  Krosoczka,1,Lawrenceville,No ISBN Found,,,,,,,
Lunch Lady And The Video Game Villain,,"Krosoczka, Jarrett",1,East Liberty,No ISBN Found,,,,,,,
Lunch Lady And The Video Game Villain,,,1,East Liberty,No ISBN Found,,,,,,,
Eligible A Modern Retelling Of Pride And Prejudice 	eligible A Modern Retelling Of Pride And Prejudice,,"Sittenfeld, Curtis",1,Carrick,No ISBN Found,,,,,,,
Eligible A Modern Retelling Of Pride And Prejudice 	eligible A Modern Retelling Of Pride And Prejudice,,"Sittenfeld, Curtis",1,Homewood,No ISBN Found,,,,,,,
Eligible A Modern Retelling Of Pride And Prejudice 	eligible A Modern Retelling Of Pride And Prejudice,,"Sittenfeld, Curtis",1,Main (Oakland),No ISBN Found,,,,,,,
Eligible A Modern Retelling Of Pride And Prejudice 	eligible A Modern Retelling Of Pride And Prejudice,,"Sittenfeld, Curtis",1,Main (Oakland),No ISBN Found,,,,,,,
Eligible A Modern Retelling Of Pride And Prejudice 	eligible A Modern Retelling Of Pride And Prejudice,,"Sittenfeld, Curtis",1,Main (Oakland),No ISBN Found,,,,,,,
Eligible A Modern Retelling Of Pride And Prejudice 	eligible A Modern Retelling Of Pride And Prejudice,,"Sittenfeld, Curtis",1,Squirrel Hill,No ISBN Found,,,,,,,
Audacity,Audacity,Melanie Growder,1,Sheraden,802709958,Alan Evans,work,1985,,,,
Audacity,Audacity,Melanie Crowder,1,East Liberty,802709958,Alan Evans,work,1985,,,,
Audacity,Audacity,Melanie Crowder,1,East Liberty,802709958,Alan Evans,work,1985,,,,
Audacity,Audacity,Melanie Crowder,1,Main (Oakland),802709958,Alan Evans,work,1985,,,,
Audacity,Audacity,Melanie Crowder,1,Squirrel Hill,802709958,Alan Evans,work,1985,,,,
Audacity,Audacity,Melanie Crowder,2,Squirrel Hill,802709958,Alan Evans,work,1985,,,,
Wolves,Wolf a Modern Look,,1,Sheraden,9789942802156,Wolves In America Co,work,,,,,
The Odd Egg,The Odd Egg Mousepad,,1,Sheraden,158358031X,,work,2002,,,,
The Odd Egg,The Odd Egg Mousepad,,1,Sheraden,158358031X,,work,2002,,,,
The Odd Egg,The Odd Egg Mousepad,,1,Knoxville,158358031X,,work,2002,,,,
The Odd Egg,The Odd Egg Mousepad,Emily Gravett,1,Knoxville,158358031X,,work,2002,,,,
The Odd Egg,The Odd Egg Mousepad,Emily Gravett,1,Carrick,158358031X,,work,2002,,,,
The Odd Egg,The Odd Egg Mousepad,Emily Gravett,1,Carrick,158358031X,,work,2002,,,,
The Odd Egg,The Odd Egg Mousepad,Emily Gravett,1,Squirrel Hill,158358031X,,work,2002,,,,
Splish Splash,"Splish Splash, Splish Splash",Gail Herman,1,Sheraden,080595578X,Karen Hawkins,work,2002,,,,
Humpty Dumpty,The winning o't!,,1,Sheraden,No ISBN Found,Humpty Dumpty,work,1876,,,,
Humpty Dumpty,The winning o't!,,1,Woods Run,No ISBN Found,Humpty Dumpty,work,1876,,,,
Humpty Dumpty,The winning o't!,,1,East Liberty,No ISBN Found,Humpty Dumpty,work,1876,,,,
Humpty Dumpty,The winning o't!,,1,Knoxville,No ISBN Found,Humpty Dumpty,work,1876,,,,
Play Baby Play,Babies of the Prairie,,1,Sheraden,9780778607328,Baby Animals at Play,work,1999,6.1 ounces,,,
Mockingjay,Mockingjay,"Collins, Suzanne",1,Brookline,439023513,Suzanne Collins,work,2010,,,"Insurgency,Survival,Fiction,Science fiction,Interpersonal relations,Television programs,Large type books,Contests",
Mockingjay,Mockingjay,Suzanne  Collins,1,Brookline,439023513,Suzanne Collins,work,2010,,,"Insurgency,Survival,Fiction,Science fiction,Interpersonal relations,Television programs,Large type books,Contests",
Mockingjay,Mockingjay,Suzanne Collins,5,Squirrel Hill,439023513,Suzanne Collins,work,2010,,,"Insurgency,Survival,Fiction,Science fiction,Interpersonal relations,Television programs,Large type books,Contests",
Mockingjay,Mockingjay,Suzanne  Collins,1,Main (Oakland),439023513,Suzanne Collins,work,2010,,,"Insurgency,Survival,Fiction,Science fiction,Interpersonal relations,Television programs,Large type books,Contests",
Hog And Dog,Hog and Dog,,1,Sheraden,9780375931659,Diane Wright Landolf,work,2005,,,,
Max And Mo,Tom and moT,,1,Sheraden,No ISBN Found,Max Trell,work,1930,,,,
Geronimo Stilton And The Kingdom Of Fantasy The Hour Of Magic,,Geronimo Stilton,1,Main (Oakland),No ISBN Found,,,,,,,
Geronimo Stilton And The Kingdom Of Fantasy The Hour Of Magic,,Geronimo Stilton,1,Main (Oakland),No ISBN Found,,,,,,,
Puff The Magic Dragon,"Puff, the magic dragon",Peter yarrow,1,Squirrel Hill,380458071,Romeo Muller,work,1979,,64,"Fantasy,Dragons,Fiction,Protected DAISY,In library",
Peekaboo Santa,Peek-a-boo Santa,Charles reasoner,1,Squirrel Hill,9780762431632,T. L. Bonaddio,work,2008,,,,
Welcome To Serenity Book 4,,Sheryl woods,1,Carrick,No ISBN Found,,,,,,,
Persepolis The Story Of A Childhood,Persepolis,Marjane Satrapi,1,Squirrel Hill,35771457,Marjane Satrapi,work,2000,,,"Biography,Comic books, strips,Pictorial works,Ithaca College First-Year Reading Initiative,Graphic novels,Protected DAISY,Bandes dessine es",Iran
Heidi Hecklenberg  10 And The Tiedyed Bunny,,Wanda Coven and Priscilla Burris,1,Squirrel Hill,No ISBN Found,,,,,,,
Matched,Matched,Allyson Braithwaite Condie,1,Downtown & Business,142428639,Ally Condie,work,2010,,,,
Matched,Matched,Ally Condie,1,Squirrel Hill,142428639,Ally Condie,work,2010,,,,
Dogs Colorful Day,Dog's Colorful Day,Emma Dodd,1,Sheraden,525465286,Emma Dodd,work,2001,,,"Fiction,Counting,Color,Dogs,Juvenile fiction,Colors",
Dogs Colorful Day,Dog's Colorful Day,"Dodd, Emma",1,Main (Oakland),525465286,Emma Dodd,work,2001,,,"Fiction,Counting,Color,Dogs,Juvenile fiction,Colors",
Dogs Colorful Day,Dog's Colorful Day,Emma Dodd,1,Main (Oakland),525465286,Emma Dodd,work,2001,,,"Fiction,Counting,Color,Dogs,Juvenile fiction,Colors",
Little Wolves,Wolves,Thomas Maltman,1,Sheraden,307597989,Golden Books,work,1999,,,,
Cats Are Cats,Cats,"Gorbachev, Valeri",1,Sheraden,9780064462549,Seymour Simon,work,2004,,,,
Orange Pear Apple Bear,Orange Pear Apple Bear,Emily Gravett,1,Sheraden,9781416939993,Emily Gravett,work,2006,10.4 ounces,32,"Bears,Plays on words,Fiction,Protected DAISY",
Orange Pear Apple Bear,Orange Pear Apple Bear,Emily Gravett,1,Sheraden,9781416939993,Emily Gravett,work,2006,10.4 ounces,32,"Bears,Plays on words,Fiction,Protected DAISY",
Orange Pear Apple Bear,Orange Pear Apple Bear,Emily Gravett,1,Squirrel Hill,9781416939993,Emily Gravett,work,2006,10.4 ounces,32,"Bears,Plays on words,Fiction,Protected DAISY",
Orange Pear Apple Bear,Orange Pear Apple Bear,Emily Gravett,1,Squirrel Hill,9781416939993,Emily Gravett,work,2006,10.4 ounces,32,"Bears,Plays on words,Fiction,Protected DAISY",
Orange Pear Apple Bear,Orange Pear Apple Bear,Emily Gravett,1,Knoxville,9781416939993,Emily Gravett,work,2006,10.4 ounces,32,"Bears,Plays on words,Fiction,Protected DAISY",
Orange Pear Apple Bear,Orange Pear Apple Bear,Emily Gravett,1,Carrick,9781416939993,Emily Gravett,work,2006,10.4 ounces,32,"Bears,Plays on words,Fiction,Protected DAISY",
Monkey And Me,Monkey and Me,Emily Gravett,1,Sheraden,230015832,Emily Gravett,work,2007,,32,"Juvenile fiction,Monkeys,Stories in rhyme,Stuffed animals (Toys),Zoo animals",
Monkey And Me,Monkey and Me,Emily Gravett,1,Squirrel Hill,230015832,Emily Gravett,work,2007,,32,"Juvenile fiction,Monkeys,Stories in rhyme,Stuffed animals (Toys),Zoo animals",
Monkey And Me,Monkey and Me,Emily Gravett,1,Lawrenceville,230015832,Emily Gravett,work,2007,,32,"Juvenile fiction,Monkeys,Stories in rhyme,Stuffed animals (Toys),Zoo animals",
Three Nasty Gnarlies,Three Nasty Gnarlies,,1,Sheraden,439240905,Keith Graves,work,2003,,,,
See A Banana,Asleep,,1,Sheraden,571205372,Yoshimoto Banana,work,2000,5 ounces,184,,
Armed And Outragous,La Serbie aux outrages,Madison johns,1,Mt. Washington,2825115096,Michèle Savary,work,2001,,,,
Golide And The Three Bears,,,1,Sheraden,No ISBN Found,,,,,,,
Monster High,Monster high,,1,Sheraden,031609918X,Lisi Harrison,work,2010,,,,
Monster High,Monster high,Lisi Harrison,1,West End,031609918X,Lisi Harrison,work,2010,,,,
Monster High,Monster high,,1,South Side,031609918X,Lisi Harrison,work,2010,,,,
Monster High,Monster high,,1,South Side,031609918X,Lisi Harrison,work,2010,,,,
Snow,Electrical Drafting Design,,1,Sheraden,9780132473798,SNOW,work,1975,,,,
Snow,Electrical Drafting Design,Eastman,1,Main (Oakland),9780132473798,SNOW,work,1975,,,,
Snow,Electrical Drafting Design,Eastman,1,Main (Oakland),9780132473798,SNOW,work,1975,,,,
Snow,Electrical Drafting Design,Uri Schulevitz,1,Carrick,9780132473798,SNOW,work,1975,,,,
Alice In Wonderland,Alice's Adventures in Wonderland,Lewis Carroll,1,Sheraden,9782701545530,Lewis Carroll,work,1865,,,,
Alice In Wonderland,Alice's Adventures in Wonderland,Lewis Carroll,1,Sheraden,9782701545530,Lewis Carroll,work,1865,,,,
Alice In Wonderland,Alice's Adventures in Wonderland,Lewis Carroll,1,Allegheny,9782701545530,Lewis Carroll,work,1865,,,,
Alice In Wonderland,Alice's Adventures in Wonderland,Lewis Carroll,1,Allegheny,9782701545530,Lewis Carroll,work,1865,,,,
Alice In Wonderland,Alice's Adventures in Wonderland,Jennifer Adams,1,Brookline,9782701545530,Lewis Carroll,work,1865,,,,
Alice In Wonderland,Alice's Adventures in Wonderland,Lewis Carroll,1,Main (Oakland),9782701545530,Lewis Carroll,work,1865,,,,
