book_title,book_author,log_value,library
Bring  Up the Bodies  ,Hilary Mantel,1,Woods Run
No Title Logged,,1,Squirrel Hill
Handy manny gardening tools,Disney ,1,Brookline
Harold Finds a Friend,,1,South Side
Junkyard,Mike Austin,2,Allegheny
Mountain Hideaway,Christy Barrett,1,
No Title Logged,,2,Squirrel Hill
No Title Logged,,1,Squirrel Hill
Eloise at the Wedding,Kay Thompson's,1,West End
The Neighborhood Mother Goose,Nina Crews,1,Sheraden
I Stink,Kate McMullan,1,Downtown & Business
No Title Logged,,2,Beechview
big nate out loud,Lincoln Peirce,1,Hazelwood
Guardians of the Galaxy,,1,Beechview
battle royale,,1,Downtown & Business
No Title Logged,,2,Beechview
I Ain't Gonna Paint No More,Karen Beaumont,1,Hill District
In The City of Coin and Spice,Catherynne Valente ,1,Beechview
Captain Underpants and the terrifying return,,1,Main (Oakland)
No Title Logged,,3,Squirrel Hill
Big Jack,,1,Carrick
Chinese New Year,,1,Knoxville
Tap the Magic Tree,Christie Matheson,1,East Liberty
Even Monsters Need Haircuts,Kathryn Starke,1,Main (Oakland)
You,Caroline Kepnes,1,Carrick
Meadowlands,Elizabeth Jeffrey,1,Squirrel Hill
i love you as big as the world,,1,East Liberty
No Title Logged,,21,Squirrel Hill
Silverlicious,Victoria Kann,1,Brookline
Bear Feels Sick,Karma Wilson,1,Squirrel Hill
Puddle ,Hue won yum,1,Main (Oakland)
No Title Logged,,1,Hazelwood
No Title Logged,,1,Squirrel Hill
Monsters Love Colors,Mike Austin,1,Hill District
Clockwork Angel,Cassandra Clare,1,Main (Oakland)
The Hidden Oracle,Rick Riordan,1,East Liberty
The Going to Bed Book,Sandra Boynton,1,Main (Oakland)
Max plays Catch,,1,Squirrel Hill
The Kill,Jane Casey,1,
No Title Logged,,3,Woods Run
Daring Greatly,Brene Brown,1,Main (Oakland)
Mercy Watson to the Rescue,Kate DiCamillo,1,Beechview
Toy story where woody,kristen depken,1,Hazelwood
Alabaster: Wolves,Caitlin R. Kiernan,1,Allegheny
Bugs Bugs Bugs,,1,East Liberty
Balto,,1,Main (Oakland)
Can you Make a Scary Face?,Jan Thomas,1,Hill District
voyagers,,1,Squirrel Hill
don't squish the sasquatch,,2,Allegheny
Old MacDonald Drives a Tractor,Don Carter,2,Downtown & Business
Stepdog,Mireya Navarro,1,Main (Oakland)
No Title Logged,,5,Squirrel Hill
Disney Princess A Royal Spring,,1,Main (Oakland)
A Gathering of Shadows,V.E. Schwab,1,Main (Oakland)
Dragonfly in Amber,Diana Gabaldon,1,Main (Oakland)
the new olympians,,1,East Liberty
Stella by Starlight,Sharon M. Draper,1,Main (Oakland)
Skippyjon Jones and the Big Bones,Judy Schachner,1,Main (Oakland)
Olivia Cooks up a surprise,Emily Sollinger,1,Squirrel Hill
Create Your Writer Platform,Chuck Sambuchino,1,West End
The Holy Bible,various,1,Carrick
A Couple's Guide to a Growing Marriage,Gary Chapman,1,Main (Oakland)
No Title Logged,,2,Squirrel Hill
Green Lantern: An Origin Story,Matthew K. Manning,1,Brookline
Tailspin,Catherine Coulter,1,Beechview
Devoted in Death,J.D. Robb,1,Mt. Washington
Green Eggs and Ham,Dr. Seuss,2,Allegheny
Biscuit in the Garden,Alyssa Satin Capucilli,1,East Liberty
No Title Logged,,10,Squirrel Hill
Total Package,Stephanie Evanoviche,1,
baby bear counts one,,1,Carrick
Knock'em Dead,Martin Yate,1,Main (Oakland)
Happy Birthday Kirsten - American Girl Series,Janet Shaw,3,East Liberty
Butterflies in November,,1,Squirrel Hill
No Title Logged,,8,Lawrenceville
I spy school ,Jean Marzollo,1,Lawrenceville
The Magpies,Mark Edwards,1,Main (Oakland)
No Title Logged,,1,Homewood
Batman Year One,"Frank Miller, David Mazzucchelli, Richmond Lewis",1,South Side
This Day in June,Gayle E. Pitman,1,West End
No Title Logged,,15,Main (Oakland)
Phoenix Rising,Karen Hesse,1,Main (Oakland)
Boo,Leslie Patricelli,1,Brookline
No Title Logged,,20,Woods Run
Tom Tit Tot,,1,South Side
The Little Tree,Muon Van,3,Squirrel Hill
What We Left Behind,Robin Talley,1,Main (Oakland)
On a Night Like This,Barbara Freethy,1,Brookline
Hilde and Eli Children of the Holocaust,David A. Adler,1,Squirrel Hill
The Last Time We Say Goodbye,Cynthia Hand,1,Woods Run
A Lesson for Martin Luther king Jr.  ,denise lewis patrick,1,Hazelwood
Penny and her Marble,Kevin Henkes,1,Squirrel Hill
No Title Logged,,11,Squirrel Hill
The Sleepy Little Alphabet,,1,East Liberty
The Wolf of Wall Street,"Belford, Jordan",1,East Liberty
And After the Fire,Lauren Belfer,1,Lawrenceville
Mr. Brown Can Moo! Can You?,Dr. Seuss,1,Squirrel Hill
Lunch lady,"Krosockza, Jarrett",1,Carrick
Go go grapes,,1,Main (Oakland)
Dot,Bobby Lynn Maslen,1,Main (Oakland)
Meternity,Meghann Foye,1,Carrick
End of Watch,Stephen King,1,Allegheny
Daniel Plays in the Snow,Daniel Tiger's Neighborhood,1,West End
Dinoblock,Christopher Franceschelli,1,East Liberty
The Mark of the Tala,Jeffe Kennedy,1,Downtown & Business
Goldilicious,Victoria Kann,1,
Mr split foot,,1,Squirrel Hill
Captain Underpants and the perilous plot of Professor poopypants,Dav Pilkey,1,Hazelwood
No Title Logged,,19,Knoxville
x a novel,Ilyasah Shabazz,1,Main (Oakland)
Harry Potter and the Prisoner of Azkaban,J.K. Rowling,1,East Liberty
Goodnight Construction Site,Sherri Duskey Rinker,1,
No Title Logged,,3,Mt. Washington
Winnie the Pooh: The Very Best Easter Bunny,,1,Main (Oakland)
The Whole Story of Half a Girl,Veera  Hiranandani ,1,East Liberty
knuffle bunny free,,1,East Liberty
The Boy at the Top of the Mountain,John Boyne,1,Woods Run
Little Pea,Amy Krouse Rosenthal,1,South Side
Cars 2,Disney,1,Brookline
Getting to Know the World's Greatest Composers - George Gershwin,Mike Venezia,1,Main (Oakland)
Transformers: Optimus Prime versus Megatron,Sadie Chesterfield,1,Brookline
Recess Is a Jungle,Jack Chabert,1,Squirrel Hill
No Title Logged,,8,Squirrel Hill
Humpty Dumpty And Other Rhymes,Iona Opie,2,Main (Oakland)
Dinosaur Ducks,Walt Disney,1,Downtown & Business
A Birthday for Frances,Russel Hoban,1,Main (Oakland)
berenstain bears and too much birthday,,1,Main (Oakland)
No Title Logged,,3,Squirrel Hill
No Title Logged,,3,Homewood
pete and polo's nursery school adventure,,2,Allegheny
No sword fighting,,1,Squirrel Hill
No Title Logged,,12,Squirrel Hill
Star Wars the Force Awakens: New Adventures,David Fentiman,1,West End
Ancillary Justice,Anne Leckie,1,Main (Oakland)
A Time of Terror,James Cameron,1,Woods Run
Troublemaker,Linda Howard,1,Carrick
little mouse gets ready,,1,East Liberty
Library of Souls,Ransom Riggs,1,Squirrel Hill
Alien in my pocket. The science unfair,Nate Ball,1,East Liberty
Sometimes I Feel Like a Fox,Danielle Daniel,1,East Liberty
Clothesline Clues to Sports People Play,"Heling, Kathryn and Deborah Hembrook",1,East Liberty
No Title Logged,,11,Allegheny
Three Hens and a Peacock,Lester L .Laminack,3,Main (Oakland)
Diary of a Wimpy Kid: Old School,Jeff Kinney,1,Hill District
"Welcome, spring!",Andrea Posner-Sanchez,1,Squirrel Hill
"The hidden Oracle. (The trials of Apollo, book 1.)",rick Riordan,1,Beechview
There's A Fly Guy In My Soup,Tedd Arnold,1,Squirrel Hill
Saga #9,Brian K. Vaughan,1,Allegheny
Tea Time,,1,Woods Run
fancy nancy sees stars,,1,Carrick
Boats Go,Steve Light,1,East Liberty
The Magician,Michael Dylan Scott,1,East Liberty
My first busy book,Eric carle,1,Main (Oakland)
No Title Logged,,1,Downtown & Business
Night Knight,Owen Davey,1,Beechview
Devil's Food Cake Murder,Joanne Fluke,1,Allegheny
Pete the Cat: Too Cool for School,Kim Dean,1,Squirrel Hill
No Title Logged,,2,Main (Oakland)
No Title Logged,,5,Squirrel Hill
my first book of shape,,1,Downtown & Business
The Dovekeepers,Alice Hoffman,1,Main (Oakland)
The Adventures of Lowly Worm,Richard Scarry,1,Main (Oakland)
"Saga, Volume 4",Brian K. Vaughan,1,Squirrel Hill
Little Blue and Little Yellow,Leo Lionni,1,Brookline
SAVOR THE MOMENT,NORA ROBERTS,1,Carrick
Daniel Tiger,,1,Main (Oakland)
No Title Logged,,1,Main (Oakland)
the tooth book,Theo LeSieg,3,Squirrel Hill
alice in the kingdom of hearts: Junk Box Stories ,,1,Beechview
No Title Logged,,11,Lawrenceville
Duck goes Potty,Michael Dahl,1,Allegheny
The Little Prince,Antoine de Saint-Exupéry,1,Mt. Washington
Mr splitfoot,,1,Squirrel Hill
Good night moon,,1,Main (Oakland)
Need ,Joelle charbonneau,1,West End
Buddy The Puppy Place,Ellen Miles,1,Woods Run
Emeraldalicious,,1,East Liberty
The Snowy Day,Ezra Jack Keats,1,Squirrel Hill
No Title Logged,,22,Squirrel Hill
The Everything Book,Denise Fleming,1,Brookline
Little Red Ridding Hood,Adapted by Jane Jerrard,3,Mt. Washington
Schools out forever ,james patterson,1,Woods Run
Wonder Woman,Ralph Cosentino ,1,Main (Oakland)
Harry Potter and the Deathly Hallows,J.K. Rowling,1,Main (Oakland)
Trains,,1,East Liberty
Caps For Sale,Esphyr Slobodkina,1,Squirrel Hill
Ghostopolis,Doug TenNapel,1,Squirrel Hill
captain america theater of war,,1,South Side
No Title Logged,,9,Mt. Washington
No Title Logged,,1,Lawrenceville
Fairy,,1,Squirrel Hill
All Aboard Airplanes,Frank Evans,1,Main (Oakland)
A Thousand Naked Strangers: A Paramedic's Wild Ride to the Edge and Back	,Kevin Hazzard,1,Main (Oakland)
No Title Logged,,1,Beechview
"Quarter Life Poetry: Poems for the Young, Broke & Hangry",Samantha Jayne,1,Squirrel Hill
Waiting,Kevin Henkes,1,Main (Oakland)
No Title Logged,,2,Woods Run
llama llama zippity - zoom,Anna Dewdney,1,Squirrel Hill
Jesus Loves Me ,,2,West End
I Am a Backhoe,Anna Grossnickle Hines,1,Carrick
My Best Friend's Exorcism,Grady Hendrix,1,Sheraden
No Title Logged,,1,Beechview
We Were Liars,E Lockhart,1,West End
bats at the ballgame,,1,Hazelwood
Ruby: A Novel,Cynthia Bond,1,Hill District
The Master and Margarita,Mikhail Bulgakov,1,Main (Oakland)
No Title Logged,,15,Allegheny
i love my daddy because,,1,East Liberty
What I Know for Sure,Oprah Winfrey,1,Homewood
Monster,Walter Dean Myers,1,Hill District
Enchanted Again ,Robin Owens,1,Main (Oakland)
Muncha Muncha Muncha ,Candace Fleming,1,Main (Oakland)
Zeus and the Rise of the Olympians,Ryan Foley,1,Squirrel Hill
Firefight,,1,Main (Oakland)
Me and Earl and the Dying Girl : a novel,Jesse Andrews,1,Squirrel Hill
Indifferent Stars Above,Daniel James Brown,1,Main (Oakland)
That's not my plane,Usborne,1,Mt. Washington
Late Summer Passion of a Woman of Mind,"Goldstein, Rebecca",1,Main (Oakland)
My Little Pony Friendship is Magic,Katie Cook,1,Brookline
Human Body Theater,Maris Wicks,1,Beechview
Runaways vol 1,Brian k Vaughan ,1,Squirrel Hill
 Everything I Never Told You,Celeste Ng,1,Downtown & Business
"The little book of restorative discipline for schools : teaching responsibility, creating caring climates","Amstutz, Lorraine Stutzman",1,East Liberty
The Working Poor,David K. Shipler,1,Main (Oakland)
No Title Logged,,1,Homewood
No Title Logged,,11,Woods Run
Give and Take,Chris Raschka,1,Main (Oakland)
Gertrudis Paz,Dr. Seuss,1,Main (Oakland)
Outcast by Kirkman & Azaceta #9,Robert Kirkman,1,Allegheny
No Title Logged,,15,West End
Sabriel,Garth Nix,1,Squirrel Hill
Summoning the Night ,Jenn Bennett ,1,Sheraden
Lilith,Francesca Lia Block,1,Brookline
I am a Tyrannosaurus,Karen Wallace,1,Carrick
Dinosaur Kisses,David Ezra Stein,1,Woods Run
We Are in a book,Willems,1,Main (Oakland)
The Astrology of Time ,Gary Goldschneider,1,Main (Oakland)
Death on Blackheath ,Anne Perry ,1,Mt. Washington
The King's Deception ,Steve Berry,1,Carrick
Bizzy Bear: Dinosaur Safari,Benji Davies,1,Main (Oakland)
Peek-a-Boo Friends,Parragon Books,1,Squirrel Hill
No Title Logged,,1,East Liberty
The Girl and the Bicycle,Mark Pett,2,Main (Oakland)
Two if by Sea,Jacquelyn Mitchard,1,Beechview
No Title Logged,,7,Homewood
This I Believe II: More Personal Philosophies of Remarkable Men and Women,"Jay Allison and Dan Gediman, editors",1,Homewood
No Title Logged,,1,East Liberty
The Beer Geek's Handbook,Patrick Dawson,1,Downtown & Business
Duddle Puck,Karma Wilson,1,Library for the Blind and Physically Handicapped
The Case of the Mistaken Identity,,1,South Side
We're Going On A Bear Hunt,Michael Rosen,1,Squirrel Hill
Fun with words,,1,Brookline
The Great Snake Escape ,Molly Coxe,1,Main (Oakland)
Little Blue Truck,"Alice Schertle, illustrated by Jill McElmurry",1,Lawrenceville
Tar Beach,Faith Ringgold,1,Main (Oakland)
Number One Sam,,1,Hazelwood
Angels & Demons,Dan Brown,4,Hazelwood
Theodore Boone: The Fugitive,John Grisham,1,Squirrel Hill
Two Bad Ants,Chris Van Allsburg,1,Squirrel Hill
The Vintage Caper,,1,
Vegas Diaries,Holly Madison,1,Main (Oakland)
The Very Hungry Caterpillar,Eric Carle,1,Squirrel Hill
naptime for slippers,,1,East Liberty
No Title Logged,,9,Woods Run
The Magic School Bus: Inside a Hurricane,Joanna Cole,1,Brookline
Miracle melts down,,1,Woods Run
Clammed Up,Barbara Ross,1,Squirrel Hill
Batman Versus Bane,Jodi Heulin,1,Brookline
Duck for President,Doreen Cronin,1,Squirrel Hill
SCARRY SQUERREL HAS A BIRTHDAY PARTY,,1,Carrick
Kids for Cash Scandal,,1,Hazelwood
Maze Runner Kill Order,,1,Main (Oakland)
How Do Dinosaurs Eat Their Food,Jane Yolen,1,Squirrel Hill
No Title Logged,,1,Main (Oakland)
Notebook of doom: flurry of the snombies,Troy Cummings,1,Homewood
The Wind-up Bird Chronicles,Haruki Murakami,1,Main (Oakland)
Interstellar,Greg Keyes,1,Brookline
No Title Logged,,17,Squirrel Hill
Dino Pets,Lynn Plourde,1,Sheraden
Daniel gets Scared,,1,Beechview
The Little Red Hen Makes a Pizza,Philemon Sturges,1,Knoxville
Library Lion,Michelle Knudsen,1,East Liberty
Babies on the Go,Linda Ashman,1,Main (Oakland)
No Title Logged,,2,Main (Oakland)
If You Give a Pig a Party,Laura Numeroff,1,Carrick
The Very Hungry Caterpillar,Eric Carle,1,East Liberty
Press here,,1,Lawrenceville
No Title Logged,,1,East Liberty
Hi Fly Guy,Tedd Arnold,1,Lawrenceville
No Title Logged,,1,Main (Oakland)
The Very Busy Spider,Eric Carle,1,East Liberty
No Title Logged,,1,Beechview
Larger Than Life,Jodi Picoult,1,Squirrel Hill
No Title Logged,,10,Squirrel Hill
little dog,,1,Main (Oakland)
What are you doing sam?,Marie-Louise Gay,1,Main (Oakland)
toot toot goes the instrument,,1,East Liberty
The Real Story of the Three Little Pigs,,1,Main (Oakland)
mort the sport,robert kraus,1,Main (Oakland)
I Love My New Toy!,Mo Willems,1,Allegheny
Deadman Wonderland  1,,1,Lawrenceville
A Daring Sacrifice,Jody Hedlund,1,Woods Run
Corduroy,Don Freeman,1,East Liberty
On My Honor,Marion and Dave Bauer,1,Carrick
Today I Will Fly! ,Mo Willems,7,Squirrel Hill
Lunch,,1,Carrick
Go Set a Watchman,Harper Lee,2,East Liberty
The Fifty Greatest Players in Pittsburgh Pirates History,,1,
Lumber James,,1,Hill District
farmyard rhymes,?,1,Brookline
Lunch Lady and the Mutant Mathletes,Jarrett Krosoczka,1,East Liberty
ready to die,lisa jackson,1,Hill District
Tacky the Penguin,Helen Lester,2,Downtown & Business
No Title Logged,,1,Squirrel Hill
Trials & Tributions,,1,Brookline
Guess Who Baby Animals,Jodie Shepherd,1,Main (Oakland)
My name is evan,,1,Lawrenceville
Cast in Honor,Michelle Sagara,1,Woods Run
A Gathering of Shadows,V.E. Schwab,1,Lawrenceville
Missoula,Jon Krakauer,1,East Liberty
The Run of His Life : The People versus O. J. Simpson,Jeffrey Toobin,1,Main (Oakland)
The Everything Book,Denise Fleming,1,Brookline
What in the Wild,,1,Hazelwood
Inside Mouse Outside Mouse,,1,Main (Oakland)
The Stinky Cheese Man & other fairly stupid tales,Jon Scieszka,1,Squirrel Hill
Alfred Hitchcock and The Three Investigators in the Secret of Terror Castle,Robert Arthur,1,East Liberty
Pete the Cat and His Four Groovy Buttons,James Dean,1,Main (Oakland)
No Title Logged,,5,Squirrel Hill
Hello Kitty Birds of a Feather,Jenne Simon,1,East Liberty
Goodnight Goon,Michael Rex,1,Beechview
Kids First Read Big Book of Animals,,1,South Side
Harry Potter and the Order of the Phoenix,J.K. Rowling,1,Carrick
"A Pig, A Fox, and a Box",Jonathan Fenske,1,Downtown & Business
bear has a story to tell,,1,Sheraden
A Bad Case of Stripes,David Shannon,1,East Liberty
No Title Logged,,3,Squirrel Hill
Captain Awesome and the new kid,Stan Kirby,1,Main (Oakland)
hey wake up,,1,East Liberty
Pennsylvania Facts And Symbols,Emily McAuliffe,1,Squirrel Hill
The Choice,Nicholas Sparks,1,Allegheny
Corduroys Numbers,Mary Jo Scott,1,Carrick
The Thing About Yetis,Vin Vogel,1,Beechview
Inch by Inch The Garden Song,David Mallett,1,Squirrel Hill
Leo the Lightning Bug,Eric Drachman,1,Downtown & Business
I'm the Biggest Thing in the Ocean,Kevin Sherry,1,Brookline
Can you Make a Scary Face?,Jan Thomas,1,Hill District
Leviathan Wakes,James S.A. Corey,1,Squirrel Hill
marvin mooney will you please go now,,1,Downtown & Business
We Are All Completely Beside Ourselves,Karen Joy Fowler,1,Main (Oakland)
Llama Llama Mad at Mama,Anna Dewdney,1,Carrick
bernstein bears picnic,,1,
Hop on Pop,Dr. Seuss,1,Allegheny
Chicken Cheeks,Michael Ian Black,1,West End
Maisy Visits the Museum,Lucy Cousins,1,Beechview
Jump!,Floyd Cooper,1,Hill District
We Are in a Book!,Mo Willems,1,Carrick
No Title Logged,,3,Mt. Washington
Dark Knight: Batman Saves the Day,Jennifer Frantz,1,Main (Oakland)
To Love and Protect ,Debbie Macomber,1,Sheraden
musical tales Vol 2,,1,Hill District
All fall down,,2,Main (Oakland)
What Do You Do With an Idea?,Kobi Yamada,1,Woods Run
Pete the Cat,James Dean,1,East Liberty
No Title Logged,,1,Downtown & Business
Dark Prince,Christine Feehan,1,Carrick
I dare you not to yawn,Helene boundreau ,1,Homewood
Inch and Roly Make a Wish,Melissa Wiley,1,East Liberty
This book loves you,PewDiePie,1,Hill District
Demon Love Spell V1-V5,Mayu Shinjo,5,Main (Oakland)
No Title Logged,,1,Main (Oakland)
Biscuits Hanukkah,,1,Brookline
Midnight ,Sister Souljah,1,Allegheny
Beast Quest-Tartok The Ice Beast,Adam Blade,1,Squirrel Hill
a carp for kimiko,,1,Hill District
No Title Logged,,1,Main (Oakland)
The Lucy Variations,Sarah Zarr,1,Carrick
Counting by 7s,Holly Goldberg Sloan,1,Main (Oakland)
Locked Up,,1,Brookline
Thomas & Friends Animals Everywhere!,,1,East Liberty
One fish two fish red fish blue fish,,1,Brookline
barbie life in the dream house -  cupcake challange,mary tillworth,1,South Side
"Alias, Volume 2",Brian Michael Bendis,1,Squirrel Hill
No Title Logged,,5,Squirrel Hill
Into the Outdoors,Susan Gal,1,Brookline
"Love, Splat",Rob Scotton,1,Brookline
What did pinny do,,1,
In Bed With a Highlander,Maya Banks,1,Main (Oakland)
Horrible Bear!,,1,
No Title Logged,,6,Squirrel Hill
The Garden of Abdul Gasazi,Chris Van Allsburg,1,
No Title Logged,,1,Hazelwood
Boo Goes There,,1,Hill District
Cross Kill A Book Shot,James Patterson,1,Brookline
Diary of a Wimpy Kid,Jeff Kinney,1,Carrick
No Title Logged,,4,Woods Run
Never Too Late ,Amber Portwood,1,Main (Oakland)
Flora and the Penguin,Molly  Idle,1,Main (Oakland)
"The Bouncing, Dancing, Galloping ABC",Charlotte Doyle,1,Main (Oakland)
Wind/Pinball,Haruki Murakami,1,West End
A Tapestry of Hope (Lights of Lowell Book #1),Tracie Peterson,1,Main (Oakland)
No Title Logged,,1,Squirrel Hill
No Title Logged,,3,Squirrel Hill
Batman Killer Croc Hunter,,1,South Side
gone with the wand,,2,Squirrel Hill
Dancing Dinosaurs go to School,Sally Lucas,1,Downtown & Business
Monsters Love Colors,Mike Austin,1,Hill District
No Title Logged,,1,Hazelwood
Dragon's Breath ,E.D. Baker,1,Woods Run
Americanah,chimamanda Ngozi Adichie,1,Squirrel Hill
No Title Logged,,20,Squirrel Hill
Hellboy Volume 3,Mike Mignola,1,Main (Oakland)
The Dark,Lemony Snicket,1,South Side
Carl and the baby duck,alexandra day,1,Squirrel Hill
Hamilton: the revolution,Lin-Manuel Miranda,1,Main (Oakland)
The Life-Changing Magic of Tidying Up,Marie Kondo,1,Squirrel Hill
No Title Logged,,15,Squirrel Hill
Doing It Over,Catherine Bybee,1,Downtown & Business
To Kill A Mockingbird,Harper Lee,1,West End
Dog's 123,,1,East Liberty
people,,1,Sheraden
James and the Giant Peach,Roald Dahl,1,Squirrel Hill
No Title Logged,,1,Allegheny
Shadows of Sherwood: a Robyn Hoodlum Adventure,Kekla Magoon,1,Main (Oakland)
Bugs that go,,1,Squirrel Hill
Braking for Bodies,"Brown, Duffy ",1,Downtown & Business
three bears' halloween,,1,Carrick
The preservationists progress,Hugh howard,1,Main (Oakland)
Go! Go! Go! Stop!,"Harper, Charise",1,Main (Oakland)
Dewey the library cat,vicki myron,3,Main (Oakland)
No Title Logged,,1,Woods Run
No Title Logged,,4,Woods Run
The Murder Of King Tut,James Patterson,1,Lawrenceville
"Cat the Cat, Who is That?",Mo Willems,1,East Liberty
Hard Times Cotton Mill Girls: Personal Histories of Womanhood and Poverty in the South,Victoria Byerly,1,Main (Oakland)
I Get Dressed,David McPhail,1,Woods Run
Pete Makes a Mistake,,1,Beechview
Ms.Cuddy Is Nutty!,Dan Gutman,1,Main (Oakland)
No Title Logged,,7,Squirrel Hill
magic,danielle steele,1,Carrick
Read With Dick and Jane: Away We Go,"Scott, Foresman and Company ",1,Main (Oakland)
Goodnight PunPun,Inio Asano,1,South Side
Kimi ni Todoke V6 - V 10,Karuho Shiina,5,Main (Oakland)
Grandmas Are For Giving Tickles,Harriet Ziefert,1,Squirrel Hill
No Title Logged,,1,Squirrel Hill
Sex Criminals: One Weird Trick,Matt Fraction,1,Brookline
Duck To The Rescue,John Himmelman,1,Main (Oakland)
We're Going On A Bear Hunt,Michael Rosen,1,Hill District
Barbie Hooray for Halloween,Diane Wright Landoff,1,Main (Oakland)
The Madwoman Upstairs,Catherine Lowell,1,South Side
Me Before You ,JoJo Moyes,1,Allegheny
Things I Learned From Knitting,Stephanie Pearl-McPhee,1,Squirrel Hill
The One,Kiera Cass,2,Squirrel Hill
Pool, JiHyeon Lee,1,East Liberty
Press Here,Henre Tullet,2,Squirrel Hill
Ways to Disapppear,Idra Novey,1,Main (Oakland)
From Head to Toe,Eric Carle,1,Hill District
Blueberries for Sal,Robert McCloskey,1,East Liberty
No Title Logged,,2,Main (Oakland)
Princeless Short Stories,,1,Squirrel Hill
the sound of gravel,ruth warner,1,Beechview
The Magicians,Lev Grossman,1,East Liberty
6000,,1,Main (Oakland)
No Title Logged,,1,Hazelwood
Pete the Cat and His Four Groovy Buttons,Eric Litwin,3,Allegheny
the coldest girl in coldtown,Holly black,1,Beechview
Henry and the Elephant,Rev. W Awdry,1,Main (Oakland)
Why I'm Still Married,Karen Propp,1,Squirrel Hill
The Berenstain Bears and the Messy Room,Stan and Jan Berenstain,1,Woods Run
No Title Logged,,14,Allegheny
Frog and Toad Are Friends,Arnold Lobel,1,Carrick
Pete the Cat: I Love My White Shoes,James Dean,1,South Side
After Happily Ever After:  Rapunzel Lets Her Hair Down,"Bradman, Tony",1,Hazelwood
Law & Order. The Unofficial Companion,Kevin Courrier & Susan Green,1,Library for the Blind and Physically Handicapped
Don't Shoot the Dog,Karen Pryor,1,Main (Oakland)
15 Things Not to Do with a Baby,Margaret McAllister,1,Main (Oakland)
Buzz said the bee,,2,Squirrel Hill
Gender Failure,"Spoon, Rae ",1,Main (Oakland)
bleach 3,kubo tite,1,South Side
No Title Logged,,1,
16 Lighthouse Road,Debbie Macomber,1,Beechview
American Housewife: Stories,"Ellis, Helen",1,Main (Oakland)
(Percy Jackson) titan's curse,Rick riordan,1,Beechview
El Hogar De Miss Peregrine Para Ninos Peculiares,Ransom Riggs,1,Brookline
counting is for the birds,Frank Mazzola Jr,1,Squirrel Hill
Power Rangers Friend or Foe,,4,West End
Daniel Radcliffe: No Ordinary Wizard,Grace Norwich,1,Squirrel Hill
Pip and Pog,,1,Woods Run
"The Family Romanov: Murder, Rebellion, and the Fall of Imperial Russia",Candace Fleming,1,Hill District
Library Lion,Michelle Knudsen,1,East Liberty
the signature of all things,,1,Beechview
I Love You Through and Through,Bernadette Rosetti-Shustak,1,Knoxville
I'm the Best Artist in the Ocean,Kevin Sherry,1,Hill District
ohvias plants and gourdes,,1,Downtown & Business
"Up, Down, and Around",Katherine Ayres,1,Main (Oakland)
 Vitamin N : the essential guide to a nature-rich life,Richard Louv,1,Brookline
Blue's Beach Day,Jeff Borkin,1,South Side
MY LITTLE PET SHOP,,1,Knoxville
No Title Logged,,1,Main (Oakland)
Saga #11,Brian K. Vaughan,1,Allegheny
Snoozers,Sandra Boynton,1,Hazelwood
Pigs Make Me Sneeze,Mo Willems,1,West End
Mistletoe Baby,Tanya Michaels,1,Downtown & Business
"Hello, Day!",Anita Lobel,1,Carrick
big little lies,liane moriarty,1,Carrick
How Things Work in the Yard,Lisa Campbell Ernst,1,West End
 The Immortal Life of Henrietta Lacks ,Rebecca Skloot,1,Homewood
Super Diaper Baby 2: The Invasion of the Potty Snatchers,Dav Pilkey,1,West End
Jack and the Beanstalk,Adapted by Jane Jerrard,1,Mt. Washington
The little red hen,Paul galdone,1,East Liberty
No Title Logged,,1,Main (Oakland)
Elmo Potty Book,,1,Carrick
Sheriff Callie's Wild West Peck's Trail Mix Mix-Up,Mike Kramer,1,Main (Oakland)
Happy 4th of July Jenny Sweeney,,1,West End
A Bear Called Paddington,Michael Bond,1,Hill District
Gabby & gator ,James burkes ,1,East Liberty
Hop on Pop,Dr. Seuss,1,Beechview
No Title Logged,,1,Squirrel Hill
Dad's First Day,Mike Wohnoutka,1,Brookline
No Title Logged,,6,Main (Oakland)
The Luckiest Girl Alive,Jessica Knoll,1,Main (Oakland)
cork and fuzz short and tall,Dori chaconas,1,Main (Oakland)
As Close to Us As Breathing,Elizabeth Poliner,1,Squirrel Hill
No Title Logged,,1,Main (Oakland)
Stone Soup,,1,South Side
Star Wars ewoks-shadows of endor ,Zack giallongo,1,East Liberty
mrs. moskowitz and the sabbath candes,amy schwartz,1,Squirrel Hill
 dork dianier,nikki j maxwill,5,West End
leo geo,,1,
Dr. Seuss' ABCs,,1,Beechview
A Kiss for Little Bear,Else Holmelund Minarik,1,Hazelwood
Knit to Be Tied,Maggie Sefton,1,Lawrenceville
Little Blue Truck,,1,Beechview
No Title Logged,,1,Hazelwood
No Title Logged,,1,East Liberty
Mittens,Lola M. Schaefer,1,East Liberty
"Here, kitty, Ketty",Madge Tovey,1,Allegheny
Harvest Hunting,Yasmine Galenorn,1,Carrick
No Title Logged,,1,Knoxville
The Korean Cinderella,Shirley Climo,1,Beechview
Raymie Nightingale,Kate DiCamillo,1,Mt. Washington
fall leaves,,1,Downtown & Business
Train to Trieste,Radulescu,1,Brookline
Manos que ayunda,,3,Brookline
No Title Logged,,9,Mt. Washington
One More Rabbit,Margaret Wise Brown,1,Brookline
